"Tag Code","Site Name","Release Date MMDDYYYY","Species Code","Species Name","Run Code","Run Name","Brood Year YYYY","Rear Type Code","Rear Type Name","First Obs Date Max","Last Obs Date Min"
"3DD.003E11B49D","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/13/2022","04/13/2022"
"3DD.003E11B4A2","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/16/2022","04/16/2022"
"3DD.003E11B4BD","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/13/2022","04/13/2022"
"3DD.003E11B4BE","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/14/2022","04/14/2022"
"3DD.003E11B4BF","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/14/2022","04/14/2022"
"3DD.003E11B4C5","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/14/2022","04/14/2022"
"3DD.003E11B4CD","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/13/2022","04/13/2022"
"3DD.003E11B4CF","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/14/2022","04/14/2022"
"3DD.003E11B4D0","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/16/2022","04/16/2022"
"3DD.003E11B4D2","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/13/2022","04/13/2022"
"3DD.003E11B4D5","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/16/2022","04/16/2022"
"3DD.003E11B4DA","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/17/2022","04/17/2022"
"3DD.003E11B4E4","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/16/2022","04/16/2022"
"3DD.003E11B4E6","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/16/2022","04/16/2022"
"3DD.003E11B4ED","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/14/2022","04/14/2022"
"3DD.003E11B4F2","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/14/2022","04/14/2022"
"3DD.003E11B4F3","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/16/2022","04/16/2022"
"3DD.003E11B507","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/14/2022","04/14/2022"
"3DD.003E11B50A","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/14/2022","04/14/2022"
"3DD.003E11B50E","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/13/2022","04/13/2022"
"3DD.003E11B510","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/14/2022","04/14/2022"
"3DD.003E11B514","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/14/2022","04/14/2022"
"3DD.003E11B516","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/13/2022","04/13/2022"
"3DD.003E11B51C","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/13/2022","04/13/2022"
"3DD.003E11B522","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/13/2022","04/13/2022"
"3DD.003E11B528","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/13/2022","04/13/2022"
"3DD.003E11B52E","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/13/2022","04/13/2022"
"3DD.003E11B535","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/16/2022","04/16/2022"
"3DD.003E11B536","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/13/2022","04/13/2022"
"3DD.003E11B53E","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/18/2022","04/18/2022"
"3DD.003E11B53F","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/14/2022","04/14/2022"
"3DD.003E11B541","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/19/2022","04/19/2022"
"3DD.003E11B549","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/22/2022","04/22/2022"
"3DD.003E11B54E","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/16/2022","04/16/2022"
"3DD.003E11B54F","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/16/2022","04/16/2022"
"3DD.003E11B550","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/17/2022","04/17/2022"
"3DD.003E11B558","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/14/2022","04/14/2022"
"3DD.003E11B560","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/15/2022","04/15/2022"
"3DD.003E11B562","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/16/2022","04/16/2022"
"3DD.003E11B564","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/18/2022","04/18/2022"
"3DD.003E11B566","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/14/2022","04/14/2022"
"3DD.003E11B569","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/15/2022","04/15/2022"
"3DD.003E11B56C","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/13/2022","04/13/2022"
"3DD.003E11B57E","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","08/06/2022","08/07/2022"
"3DD.003E11B57F","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/16/2022","04/16/2022"
"3DD.003E11B580","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/14/2022","04/14/2022"
"3DD.003E11B583","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/16/2022","04/16/2022"
"3DD.003E11B587","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/20/2022","04/20/2022"
"3DD.003E11B58C","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/20/2022","04/20/2022"
"3DD.003E11B58E","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/17/2022","04/17/2022"
"3DD.003E11B590","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/14/2022","04/14/2022"
"3DD.003E11B59B","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/14/2022","04/14/2022"
"3DD.003E11B5A0","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/15/2022","04/15/2022"
"3DD.003E11B5A3","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/14/2022","04/14/2022"
"3DD.003E11B5B9","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/17/2022","04/17/2022"
"3DD.003E11B5BA","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/13/2022","04/13/2022"
"3DD.003E11B5C5","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/19/2022","04/19/2022"
"3DD.003E11B5C7","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/17/2022","04/17/2022"
"3DD.003E11B5C9","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/14/2022","04/14/2022"
"3DD.003E11B5CC","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/15/2022","04/15/2022"
"3DD.003E11B5CD","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/15/2022","04/15/2022"
"3DD.003E11B5CF","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/15/2022","04/15/2022"
"3DD.003E11B5D2","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/14/2022","04/14/2022"
